,"Month, Year",HM-NE,CF-NE,FF-NE,HM-SW,CF-SW,FF-SW,HM-NW,CF-NW,FF-NW,HM-SE,CF-SE,FF-SE,HM-C,CF-C,FF-C
0,Jan-16,1140955.0,494802.0,285238.0,1124565.0,468568.0,281141.0,1111618.0,482079.0,277904.0,1095034.0,456264.0,273758.0,1126476.0,450958.0,281619.0
1,Feb-16,1175529.0,489804.0,293882.0,1200559.0,480616.0,288369.0,1188037.0,475603.0,297009.0,1167009.0,486254.0,280311.0,1109076.0,462115.0,288586.0
2,Mar-16,1235995.0,494802.0,296881.0,1220454.0,508522.0,293148.0,1151657.0,499443.0,287914.0,1133899.0,472458.0,295045.0,1167894.0,486622.0,280523.0
3,Apr-16,1186592.0,514593.0,296648.0,1213616.0,485843.0,291505.0,1149180.0,498369.0,299021.0,1133767.0,491684.0,283441.0,1116560.0,465233.0,290533.0
4,May-16,1272450.0,530187.0,305637.0,1249686.0,520702.0,312421.0,1187579.0,494824.0,296894.0,1215080.0,506283.0,291857.0,1155612.0,481505.0,300695.0
5,Jun-16,1235025.0,535597.0,321358.0,1213908.0,505795.0,303477.0,1239785.0,496319.0,297791.0,1217717.0,487485.0,292491.0,1149673.0,479030.0,299149.0
6,Jul-16,1284426.0,535177.0,321106.0,1269486.0,508209.0,317371.0,1202069.0,500862.0,312783.0,1186438.0,494349.0,296609.0,1220954.0,508730.0,305238.0
7,Aug-16,1323348.0,551395.0,330837.0,1358134.0,565889.0,326218.0,1283993.0,534997.0,320998.0,1319163.0,528096.0,316857.0,1252825.0,543317.0,325990.0
8,Sep-16,1284426.0,535177.0,334213.0,1268860.0,528691.0,330162.0,1295077.0,518454.0,311072.0,1279199.0,532999.0,319799.0,1255322.0,502539.0,313830.0
9,Oct-16,1280303.0,555233.0,333140.0,1315120.0,526477.0,328780.0,1301675.0,521095.0,312657.0,1233342.0,534868.0,320920.0,1213425.0,526230.0,315738.0
10,Nov-16,1319100.0,572058.0,343235.0,1348519.0,561883.0,337129.0,1276693.0,553667.0,332200.0,1257908.0,545521.0,327313.0,1288024.0,515630.0,322006.0
